Title,Released Year,Rating,Genres,Length,Certification,Directors,Writers,Stars
Mr. Nobody,2009,7.7,"Drama,Fantasy,Romance",2h 21m , R,Jaco Van Dormael,,"Sarah Polley,Jared Leto,Diane Kruger"
Ready Player One,2018,7.4,"Action,Adventure,Sci-Fi",2h 20m , PG-13,Steven Spielberg,"Zak Penn,Ernest Cline","Tye Sheridan,Ben Mendelsohn,Olivia Cooke"
Dune,1984,6.3,"Action,Adventure,Sci-Fi",2h 17m , PG-13,David Lynch,"David Lynch,Frank Herbert","Francesca Annis,Virginia Madsen,Kyle MacLachlan"
RoboCop,1987,7.6,"Action,Crime,Sci-Fi",1h 42m , R,Paul Verhoeven,"Michael Miner,Edward Neumeier","Nancy Allen,Peter Weller,Dan O'Herlihy"
The Fly,1986,7.6,"Drama,Horror,Sci-Fi",1h 36m , R,David Cronenberg,"Charles Edward Pogue,George Langelaan,David Cronenberg","John Getz,Geena Davis,Jeff Goldblum"
Hellboy,2004,6.8,"Action,Adventure,Fantasy",2h 2m , PG-13,Guillermo del Toro,"Guillermo del Toro,Peter Briggs,Mike Mignola","Selma Blair,Doug Jones,Ron Perlman"
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action,Adventure,Fantasy",2h 4m , PG,Irvin Kershner,"George Lucas,Leigh Brackett,Lawrence Kasdan","Carrie Fisher,Harrison Ford,Mark Hamill"
They Cloned Tyrone,2023,6.6,"Comedy,Mystery,Sci-Fi",2h 2m , R,Juel Taylor,"Juel Taylor,Tony Rettenmaier","Teyonah Parris,Jamie Foxx,John Boyega"
The Martian,2015,8.0,"Adventure,Drama,Sci-Fi",2h 24m , PG-13,Ridley Scott,"Drew Goddard,Andy Weir","Kristen Wiig,Matt Damon,Jessica Chastain"
Predator,1987,7.8,"Action,Adventure,Horror",1h 47m , R,John McTiernan,"John Thomas,Jim Thomas","Carl Weathers,Kevin Peter Hall,Arnold Schwarzenegger"
Pacific Rim,2013,6.9,"Action,Adventure,Sci-Fi",2h 11m , PG-13,Guillermo del Toro,"Guillermo del Toro,Travis Beacham","Idris Elba,Charlie Hunnam,Rinko Kikuchi"
The Predator,2018,5.3,"Action,Adventure,Horror",1h 47m , R,Shane Black,"Jim Thomas,Fred Dekker,Shane Black","Jacob Tremblay,Trevante Rhodes,Boyd Holbrook"
Men in Black II,2002,6.2,"Action,Adventure,Comedy",1h 28m , PG-13,Barry Sonnenfeld,"Robert Gordon,Lowell Cunningham,Barry Fanaro","Tommy Lee Jones,Rip Torn,Will Smith"
The Platform,2019,7.0,"Horror,Sci-Fi,Thriller",1h 34m , TV-MA,Galder Gaztelu-Urrutia,"Pedro Rivero,David Desola","Zorion Eguileor,Antonia San Juan,Ivan Massagué"
Spider-Man: Homecoming,2017,7.4,"Action,Adventure,Sci-Fi",2h 13m , PG-13,Jon Watts,"John Francis Daley,Jon Watts,Jonathan Goldstein","Robert Downey Jr.,Michael Keaton,Tom Holland"
Ghostbusters,2016,6.8,"Action,Comedy,Fantasy",1h 57m , PG-13,Paul Feig,"Paul Feig,Katie Dippold,Ivan Reitman","Melissa McCarthy,Kristen Wiig,Kate McKinnon"
Splice,2009,5.8,"Horror,Sci-Fi",1h 44m , R,Vincenzo Natali,"Antoinette Terry Bryant,Vincenzo Natali,Doug Taylor","Sarah Polley,Adrien Brody,Delphine Chanéac"
The Day After Tomorrow,2004,6.5,"Action,Adventure,Sci-Fi",2h 4m , PG-13,Roland Emmerich,"Jeffrey Nachmanoff,Roland Emmerich","Emmy Rossum,Dennis Quaid,Jake Gyllenhaal"
Iron Man 3,2013,7.1,"Action,Adventure,Sci-Fi",2h 10m , PG-13,Shane Black,"Drew Pearce,Shane Black,Stan Lee","Gwyneth Paltrow,Guy Pearce,Robert Downey Jr."
Vanilla Sky,2001,6.9,"Fantasy,Mystery,Romance",2h 16m , R,Cameron Crowe,"Cameron Crowe,Alejandro Amenábar,Mateo Gil","Penélope Cruz,Cameron Diaz,Tom Cruise"
Army of the Dead,2021,5.8,"Action,Crime,Drama",2h 28m , R,Zack Snyder,"Zack Snyder,Shay Hatten,Joby Harold","Ana de la Reguera,Ella Purnell,Dave Bautista"
The Dead Zone,1983,7.2,"Drama,Horror,Sci-Fi",1h 43m , R,David Cronenberg,"Stephen King,Jeffrey Boam","Christopher Walken,Tom Skerritt,Brooke Adams"
X-Men: Apocalypse,2016,6.9,"Action,Adventure,Sci-Fi",2h 24m , PG-13,Bryan Singer,"Bryan Singer,Simon Kinberg,Michael Dougherty","Michael Fassbender,James McAvoy,Jennifer Lawrence"
"I, Robot",2004,7.1,"Action,Mystery,Sci-Fi",1h 55m , PG-13,Alex Proyas,"Jeff Vintar,Isaac Asimov,Akiva Goldsman","Bridget Moynahan,Bruce Greenwood,Will Smith"
The Crawling Eye,1958,5.1,"Horror,Sci-Fi",1h 24m , Not Rated,Quentin Lawrence,"Giles Cooper,Peter Key,Jimmy Sangster","Forrest Tucker,Jennifer Jayne,Laurence Payne"
Waterworld,1995,6.3,"Action,Adventure,Sci-Fi",2h 57m , PG-13,Kevin Reynolds,"David Twohy,Peter Rader","Jeanne Tripplehorn,Dennis Hopper,Kevin Costner"
Gravity,2013,7.7,"Drama,Sci-Fi,Thriller",1h 31m , PG-13,Alfonso Cuarón,"Alfonso Cuarón,Jonás Cuarón","George Clooney,Sandra Bullock,Ed Harris"
Tomorrowland,2015,6.4,"Action,Adventure,Family",2h 10m , PG,Brad Bird,"Jeff Jensen,Damon Lindelof,Brad Bird","Britt Robertson,George Clooney,Hugh Laurie"
Akira,1988,8.0,"Animation,Action,Drama",2h 4m , R,Katsuhiro Ôtomo,"Izô Hashimoto,Katsuhiro Ôtomo","Mami Koyama,Nozomu Sasaki,Mitsuo Iwata"
Flatliners,2017,5.2,"Drama,Horror,Mystery",1h 49m , PG-13,Niels Arden Oplev,"Ben Ripley,Peter Filardi","Elliot Page,Diego Luna,Nina Dobrev"
In the Tall Grass,2019,5.5,"Horror,Mystery,Sci-Fi",1h 41m , TV-MA,Vincenzo Natali,"Joe Hill,Stephen King,Vincenzo Natali","Avery Whitted,Patrick Wilson,Laysla De Oliveira"
The Running Man,1987,6.7,"Action,Sci-Fi,Thriller",1h 41m , R,Paul Michael Glaser,"Stephen King,Steven E. de Souza","Arnold Schwarzenegger,Yaphet Kotto,Maria Conchita Alonso"
Slither,2006,6.5,"Comedy,Horror,Sci-Fi",1h 35m , R,James Gunn,,"Elizabeth Banks,Nathan Fillion,Michael Rooker"
The Silence,2019,5.3,"Drama,Horror,Sci-Fi",1h 30m , PG-13,John R. Leonetti,"Carey Van Dyke,Shane Van Dyke,Tim Lebbon","Kiernan Shipka,Stanley Tucci,Miranda Otto"
Green Lantern,2011,5.5,"Action,Adventure,Sci-Fi",1h 54m , PG-13,Martin Campbell,"Marc Guggenheim,Michael Green,Greg Berlanti","Blake Lively,Peter Sarsgaard,Ryan Reynolds"
Child's Play,2019,5.7,"Drama,Horror,Sci-Fi",1h 30m , R,Lars Klevberg,"John Lafia,Tyler Burton Smith,Don Mancini","Zahra Anderson,Ben Daon,Tim Matheson"
John Carter,2012,6.6,"Action,Adventure,Sci-Fi",2h 12m , PG-13,Andrew Stanton,"Mark Andrews,Andrew Stanton,Michael Chabon","Lynn Collins,Willem Dafoe,Taylor Kitsch"
Pitch Black,2000,7.0,"Action,Horror,Sci-Fi",1h 49m , R,David Twohy,"Ken Wheat,Jim Wheat,David Twohy","Radha Mitchell,Cole Hauser,Vin Diesel"
Color Out of Space,2019,6.2,"Horror,Mystery,Sci-Fi",1h 51m , Unrated,Richard Stanley,"Scarlett Amaris,H.P. Lovecraft,Richard Stanley","Madeleine Arthur,Joely Richardson,Nicolas Cage"
Masters of the Universe,1987,5.3,"Action,Adventure,Fantasy",1h 46m , PG,Gary Goddard,"Stephen Tolkin,David Odell,Gary Goddard","Frank Langella,Meg Foster,Dolph Lundgren"
The Bad Batch,2016,5.2,"Action,Horror,Mystery",1h 58m , R,Ana Lily Amirpour,,"Jayda Fink,Suki Waterhouse,Jason Momoa"
Leviathan,1989,5.8,"Adventure,Horror,Mystery",1h 38m , R,George P. Cosmatos,"David Webb Peoples,Jeb Stuart","Richard Crenna,Amanda Pays,Peter Weller"
Paul,2011,6.9,"Adventure,Comedy,Sci-Fi",1h 44m , R,Greg Mottola,"Nick Frost,Simon Pegg","Nick Frost,Seth Rogen,Simon Pegg"
What Happened to Monday,2017,6.8,"Action,Crime,Fantasy",2h 3m , TV-MA,Tommy Wirkola,"Kerry Williamson,Max Botkin","Noomi Rapace,Glenn Close,Willem Dafoe"
The League of Extraordinary Gentlemen,2003,5.8,"Action,Adventure,Fantasy",1h 50m , PG-13,Stephen Norrington,"James Robinson,Kevin O'Neill,Alan Moore","Stuart Townsend,Peta Wilson,Sean Connery"
The Dark Tower,2017,5.6,"Action,Adventure,Fantasy",1h 35m , PG-13,Nikolaj Arcel,"Anders Thomas Jensen,Jeff Pinkner,Akiva Goldsman","Idris Elba,Tom Taylor,Matthew McConaughey"
Tron,1982,6.7,"Action,Adventure,Sci-Fi",1h 36m , PG,Steven Lisberger,"Bonnie MacBird,Charles S. Haas,Steven Lisberger","Bruce Boxleitner,David Warner,Jeff Bridges"
The Rocketeer,1991,6.5,"Action,Adventure,Family",1h 48m , PG,Joe Johnston,"Danny Bilson,Dave Stevens,Paul De Meo","Billy Campbell,Alan Arkin,Jennifer Connelly"
Sorry to Bother You,2018,6.9,"Comedy,Drama,Fantasy",1h 52m , R,Boots Riley,,"Jermaine Fowler,LaKeith Stanfield,Tessa Thompson"
Maze Runner: The Death Cure,2018,6.2,"Action,Adventure,Sci-Fi",2h 23m , PG-13,Wes Ball,"T.S. Nowlin,James Dashner","Ki Hong Lee,Kaya Scodelario,Dylan O'Brien"
Blast from the Past,1999,6.7,"Comedy,Drama,Romance",1h 52m , PG-13,Hugh Wilson,"Bill Kelly,Hugh Wilson","Christopher Walken,Alicia Silverstone,Brendan Fraser"
Captive State,2019,6.0,"Action,Horror,Sci-Fi",1h 49m , PG-13,Rupert Wyatt,"Erica Beeney,Rupert Wyatt","Jonathan Majors,Ashton Sanders,John Goodman"
Kung Fury 2,2023,,"Action,Comedy,Crime","Kung Fury 2: Directed by David Sandberg. With Arnold Schwarzenegger, Michael Fassbender, Alexandra Shipp, Jorma Taccone. The story will focus on Kung Fury's universe with no real connection to the short movie other than the lead character.",,David Sandberg,"David Sandberg,Tyler Burton Smith","Alexandra Shipp,Michael Fassbender,Arnold Schwarzenegger"
Bolt,2008,6.8,"Animation,Adventure,Comedy",1h 36m , PG,"Chris Williams,Byron Howard","Dan Fogelman,Chris Williams","John Travolta,Susie Essman,Miley Cyrus"
Firestarter,2022,4.6,"Drama,Horror,Sci-Fi",1h 34m , R,Keith Thomas,"Stephen King,Scott Teems","Ryan Kiera Armstrong,Sydney Lemmon,Zac Efron"
Cocoon,1985,6.7,"Comedy,Drama,Sci-Fi",1h 57m , PG-13,Ron Howard,"Tom Benedek,David Saperstein","Wilford Brimley,Hume Cronyn,Don Ameche"
King Kong,1933,7.9,"Adventure,Horror,Sci-Fi",1h 40m , Passed,"Merian C. Cooper,Ernest B. Schoedsack","Ruth Rose,James Ashmore Creelman,Merian C. Cooper","Bruce Cabot,Fay Wray,Robert Armstrong"
Strange Days,1995,7.2,"Crime,Drama,Sci-Fi",2h 25m , R,Kathryn Bigelow,"James Cameron,Jay Cocks","Ralph Fiennes,Juliette Lewis,Angela Bassett"
Mimic,1997,6.0,"Horror,Sci-Fi",1h 45m , R,Guillermo del Toro,"Guillermo del Toro,Donald A. Wollheim,Matthew Robbins","Jeremy Northam,Mira Sorvino,Alexander Goodwin"
The Andromeda Strain,1971,7.2,"Mystery,Sci-Fi,Thriller",2h 11m , G,Robert Wise,"Michael Crichton,Nelson Gidding","James Olson,Arthur Hill,David Wayne"
R.I.P.D. 2: Rise of the Damned,2022,4.6,"Action,Adventure,Comedy",1h 42m , PG-13,Paul Leyden,"Andrew Klein,Paul Leyden,Peter M. Lenkov","Penelope Mitchell,Rachel Adedeji,Jeffrey Donovan"
Escape from L.A.,1996,5.7,"Action,Adventure,Sci-Fi",1h 41m , R,John Carpenter,"Debra Hill,John Carpenter,Nick Castle","Kurt Russell,Stacy Keach,Steve Buscemi"
The Nutty Professor,1996,5.7,"Comedy,Romance,Sci-Fi",1h 35m , PG-13,Tom Shadyac,"Jerry Lewis,David Sheffield,Bill Richmond","Eddie Murphy,Jada Pinkett Smith,James Coburn"
I Origins,2014,7.3,"Drama,Mystery,Romance",1h 46m , R,Mike Cahill,,"Astrid Bergès-Frisbey,Steven Yeun,Michael Pitt"
Colossus: The Forbin Project,1970,7.1,"Sci-Fi,Thriller",1h 40m , M,Joseph Sargent,"James Bridges,D.F. Jones","Susan Clark,Eric Braeden,Gordon Pinsent"
Universal Soldier,1992,6.1,"Action,Sci-Fi",1h 42m , R,Roland Emmerich,"Christopher Leitch,Dean Devlin,Richard Rothstein","Jean-Claude Van Damme,Dolph Lundgren,Ally Walker"
Anon,2018,6.1,"Crime,Mystery,Sci-Fi",1h 40m , TV-MA,Andrew Niccol,,"Afiya Bennett,Morgan Allen,Clive Owen"
Supergirl,1984,4.4,"Action,Adventure,Fantasy",2h 4m , PG,Jeannot Szwarc,,"Peter O'Toole,Faye Dunaway,Helen Slater"
Left Behind,2014,3.1,"Action,Fantasy,Sci-Fi",1h 50m , PG-13,Vic Armstrong,"Tim LaHaye,Paul Lalonde,John Patus","Cassi Thomson,Lea Thompson,Nicolas Cage"
Eight Legged Freaks,2002,5.5,"Action,Adventure,Comedy",1h 39m , PG-13,Ellory Elkayem,"Ellory Elkayem,Jesse Alexander,Randy Kornfield","Kari Wuhrer,Scott Terra,David Arquette"
Innerspace,1987,6.8,"Action,Adventure,Comedy",2h , PG,Joe Dante,"Chip Proser,Jeffrey Boam","Martin Short,Dennis Quaid,Meg Ryan"
Death Race,2008,6.4,"Action,Sci-Fi,Thriller",1h 45m , R,Paul W.S. Anderson,"Charles B. Griffith,Robert Thom,Paul W.S. Anderson","Tyrese Gibson,Joan Allen,Jason Statham"
Cargo,2017,6.3,"Drama,Horror,Sci-Fi",1h 45m , TV-MA,"Ben Howling,Yolanda Ramke",,"Martin Freeman,Simone Landers,Marlee Jane McPherson-Dobbins"
Return of the Living Dead II,1988,5.7,"Comedy,Horror,Sci-Fi",1h 29m , R,Ken Wiederhorn,,"Thom Mathews,Michael Kenworthy,James Karen"
Real Genius,1985,6.9,"Comedy,Romance,Sci-Fi",1h 48m , PG,Martha Coolidge,"PJ Torokvei,Neal Israel,Pat Proft","Stacy Peralta,Val Kilmer,Daniel Ades"
Europa Report,2013,6.4,"Adventure,Drama,Mystery",1h 30m , PG-13,Sebastián Cordero,,"Christian Camargo,Michael Nyqvist,Sharlto Copley"
Superman IV: The Quest for Peace,1987,3.7,"Action,Adventure,Sci-Fi",1h 30m , PG,Sidney J. Furie,"Jerry Siegel,Joe Shuster,Christopher Reeve","Christopher Reeve,Margot Kidder,Gene Hackman"
Cell,2016,4.4,"Action,Adventure,Horror",1h 38m , R,Tod Williams,"Adam Alleca,Stephen King","Samuel L. Jackson,Isabelle Fuhrman,John Cusack"
The Bay,2012,5.7,"Horror,Sci-Fi,Thriller",1h 24m , R,Barry Levinson,"Barry Levinson,Michael Wallach","Kether Donohue,Will Rogers,Kristen Connolly"
"Dude, Where's My Car?",2000,5.5,"Comedy,Mystery,Sci-Fi",1h 23m , PG-13,Danny Leiner,,"Jennifer Garner,Ashton Kutcher,Seann William Scott"
Westworld,1973,6.9,"Action,Drama,Sci-Fi",1h 28m , PG,Michael Crichton,,"James Brolin,Richard Benjamin,Yul Brynner"
Solaris,2002,6.2,"Drama,Mystery,Romance",1h 39m , PG-13,Steven Soderbergh,"Stanislaw Lem,Steven Soderbergh","Natascha McElhone,Ulrich Tukur,George Clooney"
Untitled I Am Legend Sequel,2023,,"Action,Horror,Sci-Fi","Untitled I Am Legend Sequel: With Will Smith, Michael B. Jordan. The plot is under wraps.",,,,"Michael B. Jordan,Will Smith"
PK,2014,8.1,"Comedy,Drama,Sci-Fi",2h 33m , Not Rated,Rajkumar Hirani,"Abhijat Joshi,Rajkumar Hirani","Aamir Khan,Sanjay Dutt,Anushka Sharma"
The Black Hole,1979,5.9,"Action,Sci-Fi",1h 38m , PG,Gary Nelson,"Jeb Rosebrook,Richard H. Landau,Bob Barbash","Robert Forster,Maximilian Schell,Anthony Perkins"
The X Files,1998,7.0,"Drama,Mystery,Sci-Fi",2h 1m , PG-13,Rob Bowman,"Frank Spotnitz,Chris Carter","Gillian Anderson,John Neville,David Duchovny"
When Worlds Collide,1951,6.6,"Action,Sci-Fi,Thriller",1h 23m , Approved,Rudolph Maté,"Edwin Balmer,Sydney Boehm,Philip Wylie","Richard Derr,Barbara Rush,Peter Hansen"
Dr. Jekyll and Mr. Hyde,1941,6.8,"Drama,Horror,Sci-Fi",1h 53m , Passed,Victor Fleming,"Percy Heath,Robert Louis Stevenson,John Lee Mahin","Spencer Tracy,Lana Turner,Ingrid Bergman"
Project Power,2020,6.0,"Action,Crime,Sci-Fi",1h 53m , R,"Ariel Schulman,Henry Joost",,"Jamie Foxx,Dominique Fishback,Joseph Gordon-Levitt"
Osmosis Jones,2001,6.3,"Animation,Action,Adventure",1h 35m , PG,"Bobby Farrelly,Peter Farrelly",,"Laurence Fishburne,Chris Rock,David Hyde Pierce"
Phantoms,1998,5.4,"Horror,Sci-Fi,Thriller",1h 36m , R,Joe Chappelle,,"Rose McGowan,Peter O'Toole,Joanna Going"
Mute,2018,5.4,"Mystery,Sci-Fi,Thriller",2h 6m , TV-MA,Duncan Jones,"Duncan Jones,Michael Robert Johnson","Paul Rudd,Alexander Skarsgård,Justin Theroux"
Zapped!,1982,4.9,"Comedy,Fantasy,Sci-Fi",1h 38m , R,Robert J. Rosenthal,"Bruce Rubin,Robert J. Rosenthal","Willie Aames,Robert Mandan,Scott Baio"
Don't Let Go,2019,6.4,"Drama,Horror,Mystery",1h 43m , R,Jacob Estes,"Drew Daywalt,Jacob Estes","David Oyelowo,Storm Reid,Mykelti Williamson"
Archive,2020,6.4,"Drama,Mystery,Sci-Fi",1h 49m , TV-MA,Gavin Rothery,,"Rhona Mitra,Theo James,Stacy Martin"
City of Ember,2008,6.4,"Adventure,Drama,Family",1h 30m , PG,Gil Kenan,"Jeanne Duprau,Caroline Thompson","Saoirse Ronan,Toby Jones,Bill Murray"
Frankenstein Created Woman,1967,6.5,"Horror,Sci-Fi",1h 32m , Unrated,Terence Fisher,,"Peter Cushing,Thorley Walters,Susan Denberg"
Bubble Boy,2001,5.7,"Adventure,Comedy,Romance",1h 24m , PG-13,Blair Hayes,"Cinco Paul,Ken Daurio","Marley Shelton,Swoosie Kurtz,Jake Gyllenhaal"
Fantastic Planet,1973,7.7,"Animation,Sci-Fi",1h 12m , PG,René Laloux,"Stefan Wul,René Laloux,Roland Topor","Eric Baugin,Jennifer Drake,Barry Bostwick"
After Yang,2021,6.7,"Drama,Sci-Fi",1h 36m , PG,Kogonada,"Kogonada,Alexander Weinstein","Malea Emma Tjandrawidjaja,Colin Farrell,Jodie Turner-Smith"
Paycheck,2003,6.3,"Action,Mystery,Sci-Fi",1h 59m , PG-13,John Woo,"Philip K. Dick,Dean Georgaris","Aaron Eckhart,Uma Thurman,Ben Affleck"
Astro Boy,2009,6.2,"Animation,Action,Adventure",1h 34m , PG,David Bowers,"Timothy Harris,David Bowers,Osamu Tezuka","Freddie Highmore,Nicolas Cage,Kristen Bell"
The Titan,2018,4.8,"Drama,Mystery,Romance",1h 37m , TV-MA,Lennart Ruff,"Max Hurwitz,Arash Amel","Sam Worthington,Tom Wilkinson,Taylor Schilling"
The Friendship Game,2022,3.3,"Horror,Sci-Fi",1h 27m,,Scooter Corkle,,"Brendan Meyer,Kelcey Mawema,Peyton List"
Come True,2020,6.0,"Horror,Sci-Fi",1h 45m , Unrated,Anthony Scott Burns,"Anthony Scott Burns,Daniel Weissenberger","Carlee Ryski,Landon Liboiron,Julia Sarah Stone"
Saturn 3,1980,5.1,"Adventure,Horror,Sci-Fi",1h 28m , R,"John Barry,Stanley Donen","John Barry,Martin Amis","Harvey Keitel,Kirk Douglas,Farrah Fawcett"
Spaceman,2024,,"Adventure,Drama,Sci-Fi",2h 56m , R,Johan Renck,"Jaroslav Kalfar,Colby Day","Carey Mulligan,Adam Sandler,Paul Dano"
Virus,1999,5.0,"Action,Horror,Sci-Fi",1h 39m , R,John Bruno,"Dennis Feldman,Chuck Pfarrer","Donald Sutherland,Jamie Lee Curtis,William Baldwin"
The Lazarus Effect,2015,5.2,"Horror,Mystery,Sci-Fi",1h 23m , PG-13,David Gelb,"Luke Dawson,Jeremy Slater","Mark Duplass,Evan Peters,Olivia Wilde"
Mission to Mars,2000,5.7,"Adventure,Sci-Fi,Thriller",1h 54m , PG,Brian De Palma,"Lowell Cannon,John Thomas,Jim Thomas","Tim Robbins,Gary Sinise,Don Cheadle"
The Little Prince,2015,7.7,"Animation,Adventure,Drama",1h 48m , PG,Mark Osborne,"Antoine de Saint-Exupéry,Irena Brignull,Bob Persichetti","Mackenzie Foy,Jeff Bridges,Rachel McAdams"
Jiu Jitsu,2020,2.9,"Action,Sci-Fi,Thriller",1h 42m , R,Dimitri Logothetis,"Jim McGrath,Dimitri Logothetis","Alain Moussi,Nicolas Cage,Raymond Pinharry"
Monkey Shines,1988,6.2,"Drama,Horror,Sci-Fi",1h 53m , R,George A. Romero,"George A. Romero,Michael Stewart","Jason Beghe,Kate McNeil,John Pankow"
The Moon,2023,6.2,"Action,Adventure,Drama",2h 9m,,Yong-hwa Kim,,"Sol Kyung-gu,Kim Hee-ae,Do Kyung-soo"
A Boy and His Dog,1975,6.4,"Comedy,Drama,Sci-Fi",1h 31m , R,L.Q. Jones,"Wayne Cruseturner,L.Q. Jones,Harlan Ellison","Jason Robards,Don Johnson,Susanne Benton"
Hell Comes to Frogtown,1988,5.5,"Action,Comedy,Sci-Fi",1h 26m , R,"Donald G. Jackson,R.J. Kizer","Randall Frakes,Donald G. Jackson","Julius LeFlore,RCB,Roddy Piper"
Cube²: Hypercube,2002,5.5,"Horror,Mystery,Sci-Fi",1h 34m , R,Andrzej Sekula,"Sean Hood,Ernie Barbarash,Lauren McLaughlin","Geraint Wyn Davies,Grace Lynn Kung,Kari Matchett"
Biosphere,2022,5.5,"Comedy,Drama,Fantasy",1h 46m,,Mel Eslyn,"Mel Eslyn,Mark Duplass","Sterling K. Brown,Mark Duplass"
Battle Beyond the Stars,1980,5.5,"Action,Adventure,Sci-Fi",1h 44m , PG,"Roger Corman,Jimmy T. Murakami","Anne Dyer,John Sayles","George Peppard,Robert Vaughn,Richard Thomas"
S. Darko,2009,3.6,"Drama,Mystery,Sci-Fi",1h 43m , R,Chris Fisher,"Richard Kelly,Nate Atkins","James Lafferty,Briana Evigan,Daveigh Chase"
Dickshark,2016,2.2,"Comedy,Sci-Fi",3h 20m , Unrated,Bill Zebub,,"John Giancaspro,Rachel Crow,Kayla Browne"
The Zero Theorem,2013,6.0,"Comedy,Drama,Fantasy",1h 47m , R,Terry Gilliam,"Terry Gilliam,Pat Rushin","Lucas Hedges,Christoph Waltz,Mélanie Thierry"
AIMEE: The Visitor,2023,5.0,"Horror,Sci-Fi,Thriller",1h 9m , Not Rated,Charles Band,"Neal Marshall Stevens,Charles Band","Tom Dacey Carr,Joe Kurak,Liz Jordan"
Captain America,1990,3.2,"Action,Adventure,Sci-Fi",1h 37m , PG-13,Albert Pyun,"Joe Simon,Jack Kirby,Stephen Tolkin","Ned Beatty,Matt Salinger,Ronny Cox"
2067,2020,4.9,"Mystery,Sci-Fi",1h 54m , Not Rated,Seth Larney,"Gareth Davies,Galvin Scott Davis,Seth Larney","Ryan Kwanten,Kodi Smit-McPhee,Aaron Glenane"
Phoenix the Warrior,1988,3.7,"Action,Sci-Fi",1h 29m , Not Rated,Robert Hayes,"Robert Hayes,Dan Rotblatt","Peggy McIntaggart,Kathleen Kinmont,Persis Khambatta"
The Return of Swamp Thing,1989,4.6,"Action,Adventure,Comedy",1h 28m , PG-13,Jim Wynorski,"Neil Cuthbert,Grant Morris,Len Wein","Dick Durock,Heather Locklear,Louis Jourdan"
Fantastic Voyage,1966,6.8,"Adventure,Sci-Fi",1h 40m , PG,Richard Fleischer,"David Duncan,Harry Kleiner,Otto Klement","Edmond O'Brien,Raquel Welch,Stephen Boyd"
Biggles: Adventures in Time,1986,5.6,"Adventure,Family,Sci-Fi",1h 48m , PG,John Hough,"W.E. Johns,Kent Walwin,John Groves","Alex Hyde-White,Fiona Hutchison,Neil Dickson"
Memoria,2021,6.5,"Drama,Mystery,Sci-Fi",2h 16m , PG,Apichatpong Weerasethakul,,"Agnes Brekke,Tilda Swinton,Daniel Giménez Cacho"
Maggie,2015,5.6,"Drama,Horror,Sci-Fi",1h 35m , PG-13,Henry Hobson,,"Abigail Breslin,Joely Richardson,Arnold Schwarzenegger"
